pt-br,en
Fomos levados para a parede.,We were driven to the wall.
Nós chegamos primeiro.,We arrived first.
Aprendemos pela experiência.,We learn by experience.
Nós obedecemos às regras.,We obeyed the rules.
"Alguns membros concordam conosco, alguns não; outros não manifestaram suas opiniões.","Some members agree with us, some don't, and others haven't expressed their opinions."
"Tudo de que precisamos agora é ação, não discussão.","All we need now is action, not discussion."
Fique aqui conosco.,Stay here with us.
Não estamos chegando em nenhum lugar com esses problemas.,We're getting nowhere with those problems.
Meu nome é Hopkins.,My name is Hopkins.
As flores murcharam.,The flowers withered up.
Terminar o trabalho até terça-feira será mamão com açúcar.,Finishing the job by Tuesday will be a piece of cake.
Só bota palha na fogueira.,It only adds fuel to the fire.
O fogo está queimando furiosamente.,The fire is burning furiously.
Eu sou livre.,I'm free.
Estou livre.,I'm free.
O cientista insistiu em continuar com a pesquisa.,The scientist insisted on proceeding with the research.
A química nos dá o plástico.,Chemistry gave us plastics.
Eu sempre quis ir para a Austrália com minha família.,I've always wanted to go to Australia with my family.
Muitas mulheres cuidam do lar e trabalham fora.,Lots of women both run a home and go out to work.
Das fachadas das casas suspendiam-se bandeiras.,The fronts of the houses were hung with flags.
As casas pareciam um monte de caixas de fósforo.,The houses looked like so many matchboxes.
"Chegando em casa, ele deitou no chão.","On arriving home, he laid himself on the floor."
Estamos indo para casa.,We're goin' home.
"No seu caminho de volta para casa, Mary encontrou John.","On her way home, Mary came across John."
Só dei por falta do meu guarda-chuva quando cheguei em casa.,It wasn't until I got home that I missed my umbrella.
Só vou ficar em casa.,I'm just going to stay home.
Centenas de búfalos foram em direção ao lago.,Hundreds of buffaloes moved toward the lake.
Alguns passageiros corajosos pegaram o batedor de carteira e o entregaram à polícia.,Some brave passengers caught the pickpocket and turned him over to the police.
Não sei aonde vamos chegar.,I don't know where we'll arrive.
Por que não contou a ela?,Why didn't you tell her?
Vamos!,Come on!
Isso não vai mudar nada.,That won't change anything.
Nada vai mudar meu mundo.,Nothing's gonna change my world.
Como o senhor Hirayama ensina bem!,How well Mr Hirayama teaches!
Que supermercado grande!,What a big supermarket!
Que professor preguiçoso!,What a lazy teacher!
Que lástima!,What a pity!
Eu não sabia o que dizer.,I didn't know what to say.
Por que eu?,Why me?
Você nunca sabe o que acontecerá.,You never know what'll happen.
E aí?,What's up?
Como eu poderia saber?,How should I know?
Sou um homem livre.,I'm a free man.
Eu estava errado?,Was I wrong?
Eu não quero limpar cocô de cachorro.,I don't wanna clean up dog shit.
Eu sou um herói.,I'm a hero.
Eu vou ficar sozinha nesse mundo.,Alone in this world I'll be.
Eu vou ficar sozinho neste mundo.,Alone in this world I'll be.
Meu pai disse não.,My papa said no.
Meu papai disse não.,My papa said no.
"Depois que sua mulher o deixou, Harold ficou louco.","After his wife left him, Harold went nuts."
Não seja um imitador.,Don't be a copycat.
Ação!,Action!
Nuvens escondiam o sol.,The clouds hid the sun.
A chuva durou cinco dias.,The rain lasted five days.
Desgraça pouca é bobagem.,"When it rains, it pours."
"Se chover, ficarei.",I'll stay if it rains.
Oramos pela chuva.,We prayed for rain.
Eu gastei 500 por dia.,I've spent $500 a day.
Você não pode fazer uma coisa por vez.,You can't just do one thing at a time.
"Ele me disse: ""Estude bastante, ou você não passará no teste.""","He said to me, 'Study hard, or you won't pass the test.'"
Ele trabalhou duro.,He worked hard.
Corri tão rápido quanto eu pude.,I ran as fast as I could.
Um de seus colegas sussurrou.,One of his colleagues whispered.
Não quero ir sozinho.,I don't want to go alone.
Eu não gosto que me façam de tonto.,I don't like being made a fool of.
Eu não gosto de ser feito de bobo.,I don't like being made a fool of.
Então o médico começou a examiná-la.,So the doctor started to examine her.
Errado.,Wrong.
Não. Eu não sei. São um monte de coisas.,No. I don't know. It's a lot of things.
Nós somos amigos desde então.,We've been friends ever since.
Estive em Hokkaido antes.,I've been to Hokkaido before.
Notícias ruins chegam cedo.,Ill news comes too soon.
"Me desculpe, mas eu não posso ir.",I'm sorry I can't go.
Elegemos Jane para presidente.,We elected Jane chairperson.
Entrei em detalhes.,I went into details.
E eu vou reerguê-lo em três dias.,And I will raise it again in three days.
Que bom que você conseguiu vir para minha despedida.,How good of you to come all the way to see me off!
Que bom que você conseguiu vir para me acompanhar.,How good of you to come all the way to see me off!
"Não sei, disse Tony.","I don't know, said Tony."
Lynn corre rápido.,Lynn runs fast.
Fui pego na hora do rush.,I was caught in the rush hour.
O leão tentou escapar da jaula.,The lion struggled to get out of his cage.
Bons sonhos!,Sweet dreams!
Yumi não pode terminá-lo num dia.,Yumi can't finish it in a day.
Não exagere.,Don't overdo it.
Você é exatamente o tipo de pessoa que eu imaginei que seria.,You're just the kind of person I imagined you'd be.
Eu finalmente consegui o emprego!,I finally got a job.
Eu acho melhor não tentar.,I think it better not to try.
Mais alto.,Louder.
É melhor você não nadar se acabou de comer.,You'd better not swim if you've just eaten.
Eu não quero ir se você não for comigo.,I don't want to go if you don't go with me.
"Se você estivesse pagando a conta, não diria isso.","If you were footing the bill, you wouldn't say that."
É fruta fresca direto da árvore.,It's fruit fresh from the tree.
Estou tão cheio.,I'm so full.
Não falarei mais com ele.,I won't talk with him anymore.
Está ficando tarde. Não quero ir para casa sozinho.,It's getting late. I don't wanna go home alone.
"Está ficando tarde, então é melhor irmos indo.","It's getting late, so we'd better get going."
Pensarei sobre isso.,I'll think about it.
O dano está feito.,The damage is done.
Eu acho que tenho que sair agora.,I guess I'll have to leave now.
Está tudo acabado para você.,It's all over for you.
"Mary não dança muito agora, mas eu sei que ela dançava muito.","Mary doesn't dance much now, but I know she used to a lot."
Eu e a Maria terminamos.,I'm through with Mary.
Você vai pegá-lo da mamãe.,You'll catch it from Mummy.
Tão rápido como um piscar de olhos.,As quick as a wink.
Eu não sei ainda.,I don't know yet.
Ligarei para ele depois.,I'll call him later.
Vou chamar novamente mais tarde.,I'll call again later.
Ainda está chovendo.,It's still raining.
"Ah, vamos.","Oh, come on."
Te vejo por aí.,See you around.
Elas o perguntaram.,They asked him.
Eles lhe perguntaram.,They asked him.
"Você escutou isso, Mike?","Did you hear that, Mike?"
"Bem, você não pode.","Well, you can't."
Mark era um burro de carga em sua turma na obra.,Mark was a work horse on his construction crew.
Estou meio feliz.,I'm kind of happy.
Lá vem ele.,Here he comes.
Aqui está minha carteira.,Here's my wallet.
Aí vem o trem.,Here comes the train.
"Ela gosta de animais, você sabia?","She likes animals, you know?"
Bob realmente é a cara do pai.,Bob's really a chip off the old block.
"Bob veio aqui, não foi?","Bob came here, didn't he?"
Ela mal pode falar japonês.,She can hardly speak Japanese.
Ela mal consegue falar japonês.,She can hardly speak Japanese.
Estou quase pronto.,I'm about ready.
Eu sou Tom Hunter.,I'm Tom Hunter.
Eu não gosto de café.,I don't like coffee.
O que eu quero dizer é isso.,What I mean is this.
"O Bell morava em Londres, né?","Bell used to live in London, didn't he?"
O Bill ficou zangado e xingou o Dick.,Bill got mad and called Dick names.
Bill mergulhou no rio para salvar a criança que estava se afogando.,Bill dived into the river to save the drowning child.
Bill me ligou na noite passada.,Bill called me last night.
Por que não pedir pizza?,Why don't we order pizza?
Eu me cortei fazendo a barba.,I cut myself shaving.
Eu me cortei quando estava me barbeando.,I cut myself shaving.
Pegue leve na cerveja.,Go easy on the beer!
Eu não bebo muita cerveja.,I don't drink much beer.
O Havaí é realmente a terra do leite e do mel.,Hawaii's really the land of milk and honey.
Vá direto ao ponto!,Get to the point!
O ônibus parou repentinamente no meio da rua.,The bus stopped suddenly in the middle of the street.
"O ônibus parou de repente, no meio da rua.",The bus stopped suddenly in the middle of the street.
Os ônibus partiam um atrás do outro.,The buses left one after another.
Os motoristas de ônibus estão de greve hoje.,The bus drivers are on strike today.
Lá vem o ônibus.,There comes the bus.
Aí vem o ônibus.,There comes the bus.
Aqui estamos.,Here we are.
"Certo, vamos.","Okay, let's go."
"Ok, vamos lá.","Okay, let's go."
Estou impaciente de ir à festa.,I'm looking forward to the party.
"Ei, sabe de uma coisa?","Hey, you know what?"
"O Nick não passou no exame, pois não?","Nick didn't pass the exam, did he?"
Que lindo jardim.,What a beautiful garden!
Como é lindo!,How beautiful it is!
Que cachorro grande aquele!,What a big dog that is!
Quanta gentileza sua.,How considerate of you!
O que eu deveria dizer?,What should I say?
"Que cavalo rápido, esse!",What a fast horse that is!
Hem?,What?
Como está frio!,How cold it is!
Que bonitinho!,How cute!
Que fofinho!,How cute!
Que maravilha!,How wonderful!
Maravilhoso!,How wonderful!
Que clima divino!,What divine weather!
Por que você não acreditou em mim?,Why didn't you believe me?
Eu não consegui dormir.,I couldn't get to sleep.
Parece ótimo!,It sounds pretty good.
É bastante bom.,It's pretty good.
Eu não acho.,I don't think so.
Eu acho que não.,I don't think so.
"Por mais frio que possa estar, ele ainda corre vinte quilômetros todos os dias.","However cold it may be, he still jogs 20 kilometers every day."
Quanto tempo teremos de esperar?,How long will we have to wait?
"Enfim, eu não gosto.","Anyway, I don't like it."
Tom atravessou a rua.,Tom walked across the street.
Tom chegou por último.,Tom arrived last.
"Tom amava Maria, que, de fato, não o amava.","Tom loved Mary, who didn't love him at all."
Tom não sabe jogar tênis.,Tom can't play tennis.
Tom se escondeu embaixo da mesa.,Tom hid under the table.
Tom não gosta de queijo.,Tom doesn't like cheese.
Tom veio correndo com uma carta de Judy.,Tom came running with a letter from Judy.
Tom acompanhou Kate até a casa dela.,Tom walked Kate home.
Mas todos os trens estão tão lotados que o que quer que estejamos segurando em nossas mãos não cai nem se soltarmos.,But every train is so crowded that whatever we have in our hands doesn't fall even if we let it go.
O trem estava apertado com tantos trabalhadores.,The trains were jammed with commuters.
Tony corre todo dia.,Tony runs every day.
Toninho e sua mãe pegaram um ônibus no centro da cidade.,Tony and his mother got on a bus in the middle of the town.
Toninho e a mãe dele embarcaram num ônibus no centro da cidade.,Tony and his mother got on a bus in the middle of the town.
Tonico e sua mãe tomaram uma lotação no centro da cidade.,Tony and his mother got on a bus in the middle of the town.
"Bom, eu acho que é hora de contar a verdadeira história.","Well, I think it's time the real story was told."
Não sei aonde ir.,I don't know where to go.
Não sabia onde pegar o ônibus.,I didn't know where to get the bus.
Isso me lembra alguma coisa.,That rings a bell.
Me desculpe.,I'm sorry.
Sinto muito.,I'm sorry.
Eu não entendo.,I don't get it.
Não entendo.,I don't get it.
Que gentil de sua parte.,How kind of you!
"Oi, sou Taro Kawaguchi.","Hi, I'm Taro Kawaguchi."
"Sente-se, por favor, disse ele.","Sit down, please, he said."
Ela trancou a porta.,She locked the door.
Não assista televisão.,Don't watch TV.
Mas em casa o chamamos de Tony.,But we call him Tony at home.
Mas o que você vai fazer se ele não vier?,But what will you do if he doesn't come?
Mas é claro que isso foi há muito tempo atrás.,But of course that was a long time ago.
Mas você gosta!,But you like it!
Mas você vai ficar me devendo uma.,But you're going to owe me one.
Vamos ver se eu entendi direito.,Let's see if I've got that right.
"Não quero ir de avião, se puder evitá-lo.","I don't want to go by plane, if I can help it."
Farei tudo o que puder.,I'll do everything I can.
Fique com o troco!,Keep the change!
Pelo menos nós terminamos o trabalho pesado.,"At last, we got through with the hard work."
Estou com meu amigo na linha nesse instante.,I've got my friend on the line right now.
Vamos sair daqui.,Let's get out of here.
Não seja mesquinho na gorjeta.,Don't be mean with the tip.
Eu gostaria de verificar.,I'd like to check out.
"Ela acredita nele, não importa o que ele diga.","She believes him, whatever he says."
"Embora chova, vou nadar amanhã.","Even if it rains, I'll go swimming tomorrow."
Acabo de ser assaltado.,I was just mugged.
Que tal se você me promovesse de apenas amigo para namorado?,How about giving me a promotion from just-a-friend to boyfriend?
Ele foi para Nagoya a negócios.,He's gone to Nagoya on business.
Não quero que me usem.,I don't want to be made a cat's paw.
A pipa subiu.,The kite went upward.
Dúzias de estudantes compareceram ali.,Dozens of students gathered there.
Mas pra você eu sempre serei insignificante.,But for you I'll always be insignificant.
Não fala tão alto.,Don't talk so loud.
Nunca vi um cachorro tão grande.,I've never seen so big a dog.
Que se dane!,I don't give a damn about it!
Que se foda!,I don't give a damn about it!
"Ele me disse: ""Não faça tanto barulho.""","He said to me, 'Don't make such a noise.'"
Eu não entendi direito o nome do designer.,I didn't quite catch the name of that designer.
Pare de dizer isso!,Stop saying that!
Isso não vai fazer nenhuma diferença.,That won't make any difference.
Isso não fará diferença alguma.,That won't make any difference.
Eu não estou nem aí.,I don't give a damn about it.
Já era hora.,It's about time.
É hora de você encarar a realidade.,It's time you faced reality.
Ele não hesita em admitir isso.,He makes no bones about admitting it.
Não fomos nós que fizemos isso.,It's not us who did it.
Não leve isso ao pé da letra.,Don't take that too literally.
Não são meus livros.,They aren't my books.
É gratuito.,It's free of charge.
É um fato que você não pode negar.,It's a fact you can't deny.
Todo mundo sabe disso.,Anybody knows it.
"Esperava, silenciosamente.","It waited, silently."
É novidade.,It's new.
Isso é novidade para mim.,That's news to me.
Esse é o meu dicionário.,That's my dictionary.
É para a minha família.,It's for my family.
Sou eu.,It's me.
Isso não é justo.,This isn't fair.
Isso é uma cópia.,That's a copy.
Está a cerca de cento e trinta e três quilômetros de Londres.,It's about 133 kilometers from London.
Isso é terrível.,That's terrible.
Isso é triste de verdade.,That's really sad.
Então o capitão tomou conta dele.,So the captain took care of him.
Essa é a gota d'água!,That's the last straw!
Então isso quer dizer que eu perdi tudo.,Then that means I lost everything.
Isso é tudo.,That's all.
Eu não sei o que é isso.,I don't know what it is.
"Meu nome também não é ""menina"".","My name's not 'girl,' either."
Então ela correu pra casa.,Then she hurried home.
Isso é dinheiro canadense?,Is this Canadian money?
A história foi verdadeira.,The story was true.
A história era verdadeira.,The story was true.
"O velho é, por assim dizer, um dicionário ambulante.","That old man is, so to speak, a walking dictionary."
O trem estava cheio de estudantes de nível médio.,The train was crowded with high school students.
O sonho se tornou realidade.,The dream has come true.
Sou contra esse projeto de lei.,I'm against the bill.
O soldado continuou em frente como se seu ferimento não significasse nada.,The soldier carried on as if his wound was nothing.
O ladrão correu rápido.,The thief ran fast.
Exatamente!,Exactly!
A asa do pássaro estava quebrada.,The bird's wing was broken.
O terremoto chacoalhou as casas.,The earthquake shook the houses.
O terremoto sacudiu as casas.,The earthquake shook the houses.
O homem ficou de pé.,The man stood up.
O homem saiu da cidade.,The man got away from the city.
Não nades no rio.,Don't swim in the river.
Não se sente em cima disso.,Don't sit on it.
O retrato parece exatamente igual ao real.,The portrait looks exactly like the real thing.
O menino tentou serrar o galho morto.,The boy tried to saw off the dead branch.
O menino calçou seus tênis esportivos e correu para fora.,The boy put on his athletic shoes and ran outside.
O prisioneiro foi solto ontem.,The prisoner was set at liberty yesterday.
O carro não parou.,The car didn't stop.
"Eu não sabia o que fazer, então.",I didn't know what to do then.
Não se esqueça de me avisar quando chegar a hora!,Don't forget to let me know when it's time.
Ele ficou atrás de sua mãe.,He stood behind his mother.
Ele ficou atrás da mãe dele.,He stood behind his mother.
O garoto não se deixou humilhar pelas gargalhadas dos seus colegas de classe.,The boy was not humiliated by the laughter of his classmates.
Não dava para ele conseguir o emprego.,He couldn't get the job.
O estádio estava cheio de fãs de beisebol.,The stadium was flooded with baseball fans.
O cientista pesquisou pelos ossos dos dinossauros no vale.,The scientist searched for the bones of the dinosaurs in the valley.
O barulho me acordou.,The noise woke me.
A espaçonave nunca retornaria à Terra.,The spaceship was never to return to Earth.
Ela chorou quando ouviu a notícia terrível.,She wept when she heard the terrible news.
O ônibus estava lotado.,The bus was crowded.
A escada-de-mão estava coberta de pó e ferrugem.,The ladder was covered with dust and rust.
Eu não quis dizer isso.,I didn't mean that.
Isso custará meu trabalho.,It'll cost me my job.
Isso vai me custar o meu trabalho.,It'll cost me my job.
Não tínhamos TV nesses dias.,We didn't have TV in those days.
Então a caneta caiu da minha mão e eu apenas ouvi.,Then the pen fell from my hand and I just listened.
Fique de olho no pestinha.,Keep an eye on the naughty kid.
E a história mudou para sempre.,And history was changed forever.
E eu sempre me preocupei com isso.,And I always worried about it.
E a árvore frequentemente ficava sozinha.,And the tree was often alone.
