pt-br,en
Quando eu crescer eu quero ser rei.,"When I grow up, I want to be a king."
Quando eu crescer eu quero ser um rei.,"When I grow up, I want to be a king."
"Os EUA são um bom lugar para viver, se você estiver aqui para ganhar dinheiro.","America is a lovely place to be, if you are here to earn money."
Estou tão gorda.,I'm so fat.
Eu sou muito gordo.,I'm so fat.
Eu sou tão gordo.,I'm so fat.
Sou muito gordo.,I'm so fat.
Estou muito gordo.,I'm so fat.
Isso foi provavelmente o que os influenciou na decisão deles.,That was probably what influenced their decision.
Eu sempre imaginei como seria ter irmãos.,I've always wondered what it'd be like to have siblings.
Isso é o que eu teria dito.,This is what I would have said.
Eu levaria uma eternidade para explicar tudo.,It would take forever for me to explain everything.
Às vezes não consigo me segurar ao mostrar minhas emoções.,Sometimes I can't help showing emotions.
Isso seria algo que eu teria que programar.,It would be something I'd have to program.
Quantos amigos íntimos você tem?,How many close friends do you have?
Quantos amigos próximos você tem?,How many close friends do you have?
Sempre foi desse jeito.,This is always the way it has been.
Isso sempre foi assim.,This is always the way it has been.
"Eu não ficaria feliz, mas eu não me mataria.","I'd be unhappy, but I wouldn't kill myself."
No ensino médio eu acordava às 6 da manhã todo dia.,"Back in high school, I got up at 6 a.m. every morning."
Eu pensei que você gostava de aprender coisas novas.,I thought you liked to learn new things.
"Se eu pudesse te mandar um marshmallow, Trang, eu mandaria.","If I could send you a marshmallow, Trang, I would."
"Para fazer isso, você tem que correr riscos.","In order to do that, you have to take risks."
Toda pessoa que é só é só porque ela tem medo de outras pessoas.,Every person who is alone is alone because they are afraid of others.
Quanto tempo você ficou?,How long did you stay?
Talvez seja do mesmo jeito para ele.,Maybe it will be exactly the same for him.
A inocência é uma coisa bela.,Innocence is a beautiful thing.
Eu acho que tenho uma teoria sobre isso.,I think I have a theory about that.
Isso é intrigante.,That is intriguing.
Isso é interessante.,That is intriguing.
Você está dizendo que esconde sua beleza intencionalmente?,You are saying you intentionally hide your good looks?
Eu não tenho uma conta nesses fóruns.,I do not have an account in these forums.
Eu acho que morar com você influenciou a sua forma de viver.,I think my living with you has influenced your way of living.
Eu acho que morar com você influenciou seu estilo de vida.,I think my living with you has influenced your way of living.
Isso não é importante.,This is not important.
"Se você olhar para a letra, ela não significa muito.","If you look at the lyrics, they don't really mean much."
"Se você olhar a letra da música, ela não significa muita coisa.","If you look at the lyrics, they don't really mean much."
Você consegue!,You can do it.
Meu professor de física não se importa se eu faltar às aulas.,My physics teacher doesn't care if I skip classes.
Eu odeio quando tem muita gente.,I hate it when there are a lot of people.
Eu preciso ir para a cama.,I have to go to bed.
"Embora ele tenha se desculpado, eu ainda estou furioso.","Even though he apologized, I'm still furious."
"Embora ele tenha pedido desculpa, ainda estou furioso.","Even though he apologized, I'm still furious."
A polícia vai fazer você encontrar as balas.,The police will get you to find the bullets.
Não era essa a minha intenção.,That wasn't my intention.
Teoricamente eu estou cursando matemática.,"Theoretically, I'm doing math."
Meu computador tem que me ser útil para algo.,My computer has got to be useful for something.
Você queria falar comigo sobre liberdade?,You wanted to tell me about freedom?
"Se eu quisesse te assustar, eu te contaria o sonho que eu tive há algumas semanas atrás.","If I wanted to scare you, I would tell you what I dreamt about a few weeks ago."
"Eu jamais imaginaria que algum dia buscaria por ""Viagra"" na Wikipédia.","I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia."
Eu encontrei uma solução. Mas eu a encontrei tão rápido que não pode ser a solução correta.,"I found a solution, but I found it so fast that it can't be the right solution."
O que você respondeu?,What did you answer?
"Não, não é meu novo namorado.","No, he's not my new boyfriend."
Então eu vou jogar Sudoku em vez de continuar a te aborrecer.,I will play Sudoku then instead of continuing to bother you.
Eu só posso esperar.,I can only wait.
Te amo.,I love you.
Eu te amo.,I love you.
Eu amo você.,I love you.
Eu a amo.,I love you.
Eu te amo!,I love you.
Amo você.,I love you.
Eu o amo.,I love you.
Eu estou curioso.,I am curious.
Eu sou curioso.,I am curious.
Eu sou curiosa.,I am curious.
Quero saber.,I am curious.
Por que você não vem nos visitar?,Why don't you come visit us?
Eu odeio química.,I hate chemistry.
Detesto química.,I hate chemistry.
Que outras opções eu tenho?,What other options do I have?
Eu não sou muito de viajar.,I am not much of a traveller.
Como eu poderia ser um robô? Robôs não sonham.,How could I be a robot? Robots don't dream.
Eu não sei se ainda o tenho.,I don't know if I still have it.
O que você acha que eu estive fazendo?,What do you think I've been doing?
Não subestime meu poder.,Don't underestimate my power.
Minha mãe não fala inglês muito bem.,My mom doesn't speak English very well.
Eu estava me perguntando se você ia aparecer hoje.,I was wondering if you were going to show up today.
Como você encontra comida no espaço?,How do you find food in outer space?
Tudo que vocês podem fazer é confiar um no outro.,All you can do is trust one another.
Todo mundo quer te conhecer. Você é famoso!,Everyone wants to meet you. You're famous!
Por que você se desculpa por algo que você não fez?,Why are you sorry for something you haven't done?
Eu fico intrigado com estrangeiros.,Foreign people intrigue me.
Você ficaria surpreso com a quantidade de coisas que você pode aprender em uma semana.,You'd be surprised what you can learn in a week.
Você não é rápido o bastante.,You're not fast enough.
"A vida é dura, mas eu sou mais ainda.","Life is hard, but I am harder."
"A vida é dura, mas eu sou mais duro.","Life is hard, but I am harder."
Pare! Você está a deixando inconfortável.,Stop it! You're making her feel uncomfortable!
Somente a verdade é bela.,Nothing is beautiful but the truth.
Amanhã ele irá aterrissar na lua.,"Tomorrow, he will land on the moon."
Ninguém me entende.,Nobody understands me.
Eu aprendi a viver sem ela.,I learned to live without her.
Estou com muitas coisas na cabeça nesses últimos dias.,I have too many things on my mind these days.
Eu só queria checar o meu e-mail.,I just wanted to check my email.
Eu só queria checar meu e-mail.,I just wanted to check my email.
Você realmente precisa perguntar pra saber a resposta?,Do you really need to ask the question to know the answer?
Você realmente precisa fazer a pergunta para saber a resposta?,Do you really need to ask the question to know the answer?
Você nunca tem tempo para coisas importantes!,You never have time for important things!
Você nunca tem tempo para as coisas importantes.,You never have time for important things!
Você está referindo a mim?,Are you referring to me?
Você está falando de mim?,Are you referring to me?
Você se refere a mim?,Are you referring to me?
"Eu queria poder me importar mais com minhas notas, mas parece que, em um certo ponto da minha vida, eu decidi que isso não seria mais tão importante.","I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore."
Você deseja beber algo?,Would you like something to drink?
Você quer tomar alguma coisa?,Would you like something to drink?
Você gostaria de algo para beber?,Would you like something to drink?
"Quem é essa? ""É a sua mãe.""","Who is it? ""It's your mother."""
"Quando você vai voltar? ""Só depende do tempo.""","When will you be back? ""It all depends on the weather."""
"O que está acontecendo na caverna? Estou curioso. ""Não faço ideia.""","What's going on in the cave? I'm curious. ""I have no idea."""
"Nós devemos aprender a viver juntos como irmãos, ou vamos morrer juntos como tolos.","We must learn to live together as brothers, or we will perish together as fools."
"Para ser honesto, estou com medo de altura. ""Você é um covarde!""","To tell you the truth, I am scared of heights. ""You are a coward!"""
Era isso que eu estava procurando! Ele exclamou.,This is what I was looking for! he exclaimed.
"O telefone está tocando. ""Eu já estou indo"".","The phone is ringing. ""I'll get it."""
"O telefone está tocando. ""Eu atendo.""","The phone is ringing. ""I'll get it."""
"Ela gosta de música. ""Eu também.""","She likes music. ""So do I."""
"Por favor, não chore.",Please don't cry.
Me avise se houver algo que eu possa fazer.,Let me know if there is anything I can do.
Você que deve decidir se nós vamos ou não vamos lá.,It is up to you to decide whether we will go there or not.
A aula só começa às oito e meia.,Class doesn't begin until eight-thirty.
A aula não começa até as oito e meia.,Class doesn't begin until eight-thirty.
Eu quero um barco que me leve para bem longe daqui.,I want a boat that will take me far away from here.
"Estou com vontade de jogar baralho. ""Eu também.""","I feel like playing cards. ""So do I."""
O arqueiro matou o cervo.,The archer killed the deer.
"Se você vir um erro, corrija-o por favor.","If you see a mistake, then please correct it."
Coloque o baralho na mesa de carvalho.,Place the deck of cards on the oaken table.
"Como você escreve ""pretty""?","How do you spell ""pretty""?"
"Me desculpe, eu não posso ficar por muito tempo.","I'm sorry, I can't stay long."
"Sinto muito, não posso ficar muito tempo.","I'm sorry, I can't stay long."
"Por que você não vai? ""Porque eu não quero.""","Why aren't you going? ""Because I don't want to."""
"Por que você não vai? ""Porque não estou a fim de ir.""","Why aren't you going? ""Because I don't want to."""
"Quando você estiver ficando parecido com a sua foto do seu passaporte, está na hora de tirar uma folga.","When you're beginning to look like the photo in your passport, you should go on a holiday."
Ao sair da estação de trem eu vi um homem.,"When I left the train station, I saw a man."
As pessoas de Madri são estranhas.,People from Madrid are weird.
Você teve a sorte de ele não te morder.,You're lucky because he didn't bite you.
Você sentiu a minha falta?,Did you miss me?
Sentiu saudades de mim?,Did you miss me?
É uma pena quando alguém morre.,It's a pity when somebody dies.
Lave antes de vestir pela primeira vez.,Wash before first wearing.
"Pobre não é aquele que tem muito pouco, é aquele que quer ter demais.","Poor is not the one who has too little, but the one who wants too much."
"Vendo como não está surpreso, acho que você já deveria estar sabendo.","Seeing that you're not surprised, I think you must have known."
Essa será uma boa lembrancinha da minha viagem pelos Estados Unidos.,This will be a good souvenir of my trip around the United States.
Você fala italiano?,Do you speak Italian?
Posso fazer uma pergunta?,May I ask a question?
Posso perguntar uma coisa?,May I ask a question?
"Como você se sente?, ele perguntou.",How do you feel? he inquired.
Me é impossível explicar isso para você.,It's impossible for me to explain it to you.
É impossível para mim explicar isso para você.,It's impossible for me to explain it to you.
Eu nunca teria adivinhado isso.,I would never have guessed that.
A imaginação afeta todos os aspectos das nossas vidas.,Imagination affects every aspect of our lives.
Você vai me esquecer um dia.,You'll forget about me someday.
Um dia você não vai mais lembrar de mim.,You'll forget about me someday.
Eu não conseguiria ter feito sem você. Obrigado.,I couldn't have done it without you. Thank you.
Não seria possível eu fazer isso sem você. Muito obrigada.,I couldn't have done it without you. Thank you.
Não poderia ter feito isso sem você. Obrigado.,I couldn't have done it without you. Thank you.
Não poderia ter feito isso sem você. Obrigada.,I couldn't have done it without you. Thank you.
Me informe se eu preciso fazer alguma mudança.,Let me know if I need to make any changes.
Eu acho que as provas estão arruinando com a educação.,I think exams are ruining education.
Você tem uma camisinha?,Do you have a condom?
Faça tudo o que ele mandar.,Do whatever he tells you.
"Sim, suco de laranja, por favor, diz Mike.","Yes, orange juice please, says Mike."
Ah! é uma interjeição.,Ah! is an interjection.
O que você quer?,What do you want?
O que você deseja?,What do you want?
O que vocês querem?,What do you want?
Você precisa que eu te dê algum dinheiro?,Do you need me to give you some money?
"Ei, talvez eu não tenha dinheiro, mas eu ainda tenho meu orgulho.","Hey, I may have no money, but I still have my pride."
Eu tenho um sonho.,I have a dream.
Você me achou onde ninguém mais estava procurando.,You found me where no one else was looking.
Você está do meu lado. Agora tudo está bem.,You're by my side; everything's fine now.
Você está ridículo.,You look stupid.
Eu gosto muito disso.,I like it very much.
Eu tenho que fazer compras. Voltarei em uma hora.,I have to go shopping. I'll be back in an hour.
Eu tenho que comprar algumas coisas. Estarei de volta daqui a uma hora.,I have to go shopping. I'll be back in an hour.
É distante daqui?,Is it far from here?
Gostaria de dançar comigo?,Would you like to dance with me?
Eu gostaria de ficar por uma noite.,I'd like to stay for one night.
Onde ficam os chuveiros?,Where are the showers?
Abra a sua boca!,Open your mouth!
Eu perdi minha carteira.,I have lost my wallet.
Vida é o que acontece enquanto você está ocupado fazendo outros planos.,Life is what happens to you while you're busy making other plans.
Ele é muito sexy.,He's very sexy.
Há coisas demais por fazer!,There are too many things to do!
Pare de ficar me pedindo uma bebida! Vá buscá-la você mesmo.,Stop asking me for a drink! Go get it yourself.
Graças a você eu perdi meu apetite.,Thanks to you I've lost my appetite.
Estou sentindo uma vontade enorme de bater em alguém.,I really need to hit somebody.
Eu realmente preciso bater em alguém.,I really need to hit somebody.
"Se você não quer colocar protetor solar, isso é problema seu. Só não me venha reclamar quando você ficar queimado do sol.","If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn."
"Se você não quer colocar protetor solar, isso é problema seu. Só não me venha reclamar quando você ficar queimada do sol.","If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn."
"Se você não quiser colocar protetor solar, isso é problema seu. Só não venha reclamar para mim quando você ficar com uma queimadura por causa do sol.","If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn."
Odeio essas aranhas; elas sempre estão lá para me enlouquecerem quando estou fazendo uma limpeza.,I hate those spiders. They're always there to freak me out when I'm cleaning.
Odeio aquelas aranhas. Elas estão sempre lá para me assustarem quando estou limpando.,I hate those spiders. They're always there to freak me out when I'm cleaning.
Está tão quente que você poderia cozinhar um ovo no capô de um carro.,It's so hot that you could cook an egg on the hood of a car.
Eu nunca via uma geladeira vermelha.,I never saw a red fridge.
A matemática é a parte da ciência que você poderia continuar a fazer se acordasse amanhã e descobrisse que o universo tinha desaparecido.,Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.
Eu não sei o que dizer para fazer você se sentir melhor.,I don't know what to say to make you feel better.
Estava tentando matar o tempo.,I was trying to kill time.
Como foi que essa ideia insana lhe veio à mente?,How did you come up with this crazy idea?
Eu estou cansado.,I'm tired.
Estou cansado.,I'm tired.
"Fale mais devagar, por favor.","Speak more slowly, please!"
Quando nós iremos chegar?,When do we arrive?
Estou com dor de cabeça.,I have a headache.
Eu tenho que admitir que eu ronco.,I must admit that I snore.
Como você está? Teve uma boa viagem?,How are you? Did you have a good trip?
Eu não me sinto bem.,I don't feel well.
Ela está fingindo dormir. É por isso que não está roncando.,She's faking sleep. That's why she's not snoring.
"Se você está cansado, por que você não vai dormir? ""Porque, se eu dormir agora, eu vou acordar muito cedo.""","If you're tired, why don't you go to sleep? ""Because if I go to sleep now I will wake up too early."""
Você deveria ter me escutado.,You should have listened to me.
"Quando o corpo é tocado, receptores na pele enviam mensagens para o cérebro causando a descarga de substâncias químicas tais como endorfinas.","When the body is touched, receptors in the skin send messages to the brain causing the release of chemicals such as endorphins."
Ele ficaria feliz em ouvir isso.,He would be glad to hear that.
O que você acha ser verdade apesar de não poder provar?,What do you believe is true even though you cannot prove it?
Não pergunte o que eles pensam. Pergunte o que eles fazem.,Don't ask what they think. Ask what they do.
"O que modifica o mundo é comunicação, não informação.","What changes the world is communication, not information."
Qualquer universo simples o bastante para ser compreendido é simples demais para produzir uma mente capaz de compreendê-lo.,Any universe simple enough to be understood is too simple to produce a mind able to understand it.
A paixão cria sofrimento.,Passion creates suffering.
O trem que partiu de Genebra chegará à estação.,The train from Geneva will arrive at the station.
Você tem amigos na Antígua?,Do you have friends in Antigua?
Eu tenho tanto trabalho que vou ficar por mais uma hora.,I have so much work that I will stay for one more hour.
Eu sou casado e tenho dois filhos.,I am married and have two children.
Ele toca muito bem piano.,He plays the piano very well.
Eu o vejo raramente.,I see it rarely.
Você não sabe quem eu sou.,You don't know who I am.
Por que você não come frutas e verduras?,Why don't you eat vegetables?
Por que você não come vegetais?,Why don't you eat vegetables?
O carro bateu no muro.,The car crashed into the wall.
Não há visões reais.,There are no real visions.
"Não há razão para você me dizer ""Oi, como vai?"" se você não tiver nada além disso a dizer.","There's no point saying ""Hi, how are you?"" to me if you have nothing else to say."
"Num dicionário como este deveria haver pelo menos duas frases com ""geladeira"".","In a dictionary like this one there should be at least two sentences with ""fridge""."
O criacionismo é uma pseudociência.,Creationism is a pseudo-science.
"Você terminou? ""Ao contrário, eu ainda nem comecei.""","Have you finished? ""On the contrary, I have not even begun yet."""
Aquele foi o melhor dia da minha vida.,That was the best day of my life.
Dou-lhe minha palavra.,I give you my word.
Você é o grande amor da minha vida.,You are the great love of my life.
Ser objetivo significa não dizer a todos de que lado você está.,Being objective means not telling everybody whose side you are on.
Uma verdade matemática não é nem simples nem complicada. Ela simplesmente é.,A mathematical truth is neither simple nor complicated; it is.
"Eu não penso, logo não existo.","I don't think, therefore I am not."
"Atualmente nós queremos que nossos filhos tomem suas próprias decisões, mas nós esperamos que essas decisões nos agradem.","Nowadays we want our children to make their own decisions, but we expect those decisions to please us."
Eu acho idiomas estrangeiros muito interessantes.,I find foreign languages very interesting.
Eu não gosto de estudar verbos irregulares.,I don't like learning irregular verbs.
Não gosto de aprender verbos irregulares.,I don't like learning irregular verbs.
Pegue um livro e o leia!,Take a book and read it.
Peguem um livro e leiam-no!,Take a book and read it.
"A maioria das escolas não foi projetada para transformar a sociedade, mas para reproduzi-la.","Most schools were designed not to transform society, but to reproduce it."
Você me faz sonhar.,You make me dream.
Estou cheio de alegria.,I'm beside myself with joy.
Está frio.,It's cold.
Dê a ele uma mão e ele vai querer o braço inteiro.,Give him an inch and he'll take a yard.
Você fez isso intencionalmente.,You did this intentionally!
Você me fez perder a cabeça.,You made me lose my mind.
Você me fez perder a calma.,You made me lose my mind.
Você é o meu tipo.,You're my type.
Você é irresistível.,You're irresistible.
"Você poderia telefonar de novo mais tarde, por favor?","Could you call again later, please?"
Com quem eu falo?,Who am I talking with?
Eu estou falando com quem?,Who am I talking with?
"Eu aceito, mas apenas sob uma condição.","I accept, but only under one condition."
Aos seis anos de idade ele tinha aprendido a usar a máquina de escrever e disse ao professor que ele não precisava aprender a escrever a mão.,At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.
A vida é bela.,Life is beautiful.
Tem dias que eu me sinto como se meu cérebro quisesse me abandonar.,There are days where I feel like my brain wants to abandon me.
Eu não aguento mais! Eu não durmo faz três dias!,I can't take it anymore! I haven't slept for three days!
Ele não quer que você fale para ele sobre a sua vida sexual.,He doesn't want you to tell him about your sex life.
Você já comeu torta de banana?,Have you ever eaten a banana pie?
Por que você se casaria com uma mulher se você gosta de homens?,Why would you marry a woman if you like men?
"Se você não pode ter filhos, você sempre terá a opção de adotar.","If you can't have children, you could always adopt."
Você é a favor ou contra abortos?,Are you for or against abortions?
O que fez você mudar de ideia?,What made you change your mind?
Eu amo lasanha.,I love lasagna.
"Se você sabe que algo desagradável vai acontecer, que você vai ir ao dentista por exemplo, ou à França, então isso não é bom.","If you know that something unpleasant will happen, that you will go to the dentist for example, or to France, then that is not good."
"Números primos são como a vida; eles são completamente lógicos, mas é impossível encontrar suas regras, mesmo se você passar todo o seu tempo pensando sobre isso.","Prime numbers are like life; they are completely logical, but impossible to find the rules for, even if you spend all your time thinking about it."
O cérebro é somente uma máquina complicada.,The brain is just a complicated machine.
Esse bebê pinguim é muito fofo!,This baby penguin is too cute!
Há pessoas no mundo tão famintas que Deus não pode aparecer para elas exceto na forma de pão.,"There are people in the world so hungry, that God cannot appear to them except in the form of bread."
Eu estava relendo as cartas que você me mandou.,I was rereading the letters you sent to me.
Está tudo acabado entre nós. Devolva meu anel!,It's over between us. Give me back my ring!
Está chovendo.,It is raining.
"Eu estava planejando ir à praia hoje, mas então começou a chover.","I was planning on going to the beach today, but then it started to rain."
A justiça é cara.,Justice is expensive.
Eu fui ao zoológico ontem.,I went to the zoo yesterday.
Ontem eu fui ao zoológico.,I went to the zoo yesterday.
Oi? Você ainda está aí?,Hello? Are you still here?
Eu faço almoço todo dia.,I make lunch every day.
Eu preparo o almoço todo dia.,I make lunch every day.
Eu dormi um pouco durante o intervalo para almoço porque eu estava muito cansado.,I slept a little during lunch break because I was so tired.
Eu dormi um pouco durante o intervalo para almoço porque eu estava muito cansada.,I slept a little during lunch break because I was so tired.
"Eu moro perto do mar, então eu frequentemente vou para a praia.","I live near the sea, so I often get to go to the beach."
Um dia eu vou comprar uma máquina de fazer algodão doce.,Someday I will buy a cotton candy machine.
Ter um laptop é prático.,It's practical to have a laptop.
Quantas vezes ao dia você se olha no espelho?,How many times a day do you look at yourself in the mirror?
Ela não quer falar sobre isso.,She doesn't want to talk about it.
Eu perdi minha inspiração.,I lost my inspiration.
"Seja paciente, por favor. Leva algum tempo.",Be patient please. It takes time.
Feche a porta quando sair.,Close the door when you leave.
Meu irmão pequeno está vendo televisão.,My little brother is watching TV.
"Negando que ela era uma anarquista, Katja insistia que ela somente desejava fazer mudanças no nosso governo, não destruí-lo.","Denying she was an anarchist, Katja maintained she wished only to make changes in our government, not to destroy it."
"Quando você envia um telegrama, a brevidade é essencial, pois você será cobrado por cada palavra.","When you send a telegram, brevity is essential because you will be charged for every word."
Você o conheceu na universidade?,You met him at the university?
As faculdades e universidades dos EUA são autônomas.,The private colleges and universities of the United States are autonomous.
"Isso, ocorre de vez em quando.","Yes, it happens from time to time."
"Quando eu estou com enxaqueca, a aspirina não alivia minha dor.","When I have migraines, aspirin doesn't alleviate the pain for me."
"Depende do que você quer dizer com ""acreditar"" em Deus.","It depends what you mean by ""believe"" in God."
"Quando as duas meninas disseram a John que sentiam algo por ele, ele se viu no dilema de decidir com qual deveria ficar.","When both girls told John they had feelings for him, he was in a quandary as to which girl he should be with."
As testemunhas conseguiram refutar o falso depoimento do suspeito.,The witnesses were able to refute the false testimony of the suspect.
Bill Clinton falou com ambiguidade quando foi-lhe perguntado sobre o seu relacionamento com Monica Lewinsky.,Bill Clinton spoke in ambiguous language when asked to describe his relationship with Monica Lewinsky.
Que critério você usou quando escolheu este ensaio como o vencedor?,What criterion did you use when you elected this essay as the winner?
Eu gosto muito do meu trabalho.,I like my job very much.
Eu sonhei com você.,I dreamt about you.
As aulas logo recomeçarão.,Classes are starting again soon.
Eu mudei o layout da minha página.,I've changed my website's layout.
Pegue outra cadeira!,Take the other chair!
Pegue a outra cadeira!,Take the other chair!
Pega a outra cadeira!,Take the other chair!
Quantos sanduíches restam?,How many sandwiches are there left?
Eu não estou mais inspirado.,I'm not inspired anymore.
Você disse que eu nunca poderia ganhar?,Did you say that I could never win?
"Você fará coisas que os seus pais disseram e fizeram, mesmo que você tenha jurado que nunca faria.","You will say and do things your parents said and did, even if you swore you would never do them."
Nunca tente morrer.,Never try to die.
Estou muito velho para esse mundo.,I am too old for this world.
A vida começa quando nós descobrimos quem realmente somos.,Life begins when we realize who we really are.
A vida começa quando você decide o que é que você espera dela.,Life starts when you decide what you are expecting from it.
A vida começa quando você paga impostos.,Life begins when you pay taxes.
O que você não tem é melhor do que o que você tem.,What you don't have is better than what you do have.
A vida começa quando você está pronto para vivê-la.,Life begins when you're ready to live it.
Nunca é tarde demais para aprender.,It is never too late to learn.
Ele me contou a história da vida dele.,He told me the story of his life.
Eu me pergunto se eu fui feito para esse mundo.,I wonder if I am made for this world.
Sobre o que você está falando?,What are you talking about?
Eu sabia que hoje seria divertido.,I knew that today would be fun.
Quando iremos comer? Eu estou com fome!,When are we eating? I'm hungry!
Eu tenho aula amanhã.,I have class tomorrow.
Eu aprendi muito com você.,I learned a lot from you.
Eu passei doze horas no trem.,I spent twelve hours on the train.
"Espere, alguém está batendo na porta.","Hold on, someone is knocking at my door."
Ele é rico. Ele não precisa de dinheiro!,He's rich. He doesn't need money!
Elas estão fazendo muito barulho; eu não consigo me concentrar.,They're making too much noise. I can't concentrate.
Eu quero uma massagem. Eu preciso relaxar.,I want a massage. I need to relax.
Você está doente e precisa repousar.,You're sick. You have to rest.
Ele desapareceu sem deixar pistas.,He disappeared without a trace.
Eu consigo colocar as palmas das minhas mãos no chão sem dobrar os joelhos.,I can place the palms of my hands on the floor without bending my knees.
O mundo não gira ao seu redor.,The world doesn't revolve around you.
Você está dizendo que minha vida corre perigo?,Are you saying my life is in danger?
Você tem alguma ideia de como a minha vida é?,Do you have any idea what my life is like?
Você faz ideia de como é a minha vida?,Do you have any idea what my life is like?
Esse lugar tem uma atmosfera misteriosa.,This place has a mysterious atmosphere.
E se eu for gay? Agora isso é um crime?,So what if I am gay? Is it a crime?
E se eu for homossexual? Isso é crime?,So what if I am gay? Is it a crime?
E daí se eu sou gay? É crime?,So what if I am gay? Is it a crime?
Minha vida é vazia sem ele.,My life is hollow without him.
Eu não quero reprovar nas minhas provas.,I don't want to fail my exams.
Minha mãe comprou duas garrafas de suco de laranja.,My mother bought two bottles of orange juice.
Ela estava usando um chapéu preto.,She was wearing a black hat.
Fizemos panquecas para o café da manhã.,We made pancakes for breakfast.
Eu passei a tarde toda conversando com amigos.,I spent the whole afternoon chatting with friends.
Eu quero ser mais independente.,I want to be more independent.
Você vai simplesmente ficar aí parado o dia todo?,Are you just going to stand there all day?
Meu coração estava cheio de felicidade.,My heart was filled with happiness.
Ele quer apagar as lembranças ruins.,He wishes to erase bad memories.
"Senhor, você não tem permissão de estacionar seu carro aqui.","Sir, you are not allowed to park your car here."
Eu não quero mais ouvir suas reclamações.,I don't want to hear any more of your complaining.
Você não devia ter aceitado uma proposta tão desonesta.,You should have refused such an unfair proposal.
Eu não tenho forças para continuar tentando.,I don't have the strength to keep trying.
Matemática não é só a memorização de fórmulas.,Mathematics is not just the memorization of formulas.
A matemática não é simplesmente a memorização de fórmulas.,Mathematics is not just the memorization of formulas.
